Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version,,
39352,KRISHIVED PFM,pragatia,,normal,minor,always,,Bug,2022-02-14,,,,public,2022-02-18,"Language selected is English but on edit trading session master screen,success messages are getting displayed in Hindi on updat",deployed_in_uat,open,,,
39449,KRISHIVED PFM,vaishnaviak,,high,major,always,,Bug,2022-02-17,,,,public,2022-02-17,"IN account code dropdown , TAC of user is showing with CL suffix",new,open,,,
39436,KRISHIVED android,yasht,,high,crash,always,,Bug,2022-02-17,,,,public,2022-02-17,app is getting crashed after selecting trade type as descritionary match payment mode as PRP  and delivery mode as DESCRIPTION a,new,open,,,
39382,KRISHIVED PFM,pragatia,,normal,minor,always,,Observation,2022-02-15,,,,public,2022-02-16,"Observation - Language label input screen - language 1, language 2,language 3, language 4 fields should not be mandatory.",deployed_in_uat,open,,,
39381,KRISHIVED PFM,pragatia,,normal,minor,always,,Bug,2022-02-15,,,,public,2022-02-16,"Language label input - User does not receive any alert message for language 1 should be English, language 2 should be Hindi , la",deployed_in_uat,open,,,
39363,KRISHIVED PFM,pragatia,,normal,minor,always,,Bug,2022-02-14,,,,public,2022-02-16,"After updating the bank details from view client screen, the data did not update in account master. TMID - 1401295",deployed_in_uat,open,,,
39362,KRISHIVED PFM,pragatia,,normal,minor,always,,Bug,2022-02-14,,,,public,2022-02-15,Language label input - Language label added for commodities but it was not getting updated in HINDI on view commodity master sc,deployed_in_uat,open,,,
39361,KRISHIVED PFM,pragatia,,normal,minor,always,,Observation,2022-02-14,,,,public,2022-02-15,"Observation - In memory refresh screen - on refresh , in success msg 'successfully loaded',successfully is mispelled.",deployed_in_uat,open,,,
39360,KRISHIVED PFM,pragatia,,normal,minor,always,,Observation,2022-02-14,,,,public,2022-02-15,Observation - In msg 'Language Label already exists for :: MANGLORELanguage Label already exists for :: MANGLORELanguage Label,deployed_in_uat,open,,,
39359,KRISHIVED PFM,pragatia,,normal,minor,always,,Observation,2022-02-14,,,,public,2022-02-15,Observation - Language label input screen - in success message for label already exists 'Language Label already exists for :: GR,deployed_in_uat,open,,,
39358,KRISHIVED PFM,pragatia,,normal,minor,always,,Bug,2022-02-14,,,,public,2022-02-15,Edit trading account : trading account details get updated successfully even when mandatory fields in bank details are kept emp,deployed_in_uat,open,,,
39357,KRISHIVED PFM,pragatia,,normal,minor,always,,Bug,2022-02-14,,,,public,2022-02-15,"Trading account approval : On approve by admin, no message is getting displayed and approve button gets disabled .",deployed_in_uat,open,,,
39356,KRISHIVED PFM,pragatia,,normal,minor,always,,Bug,2022-02-14,,,,public,2022-02-15,"View tac : in bank details tab, if IFSC code is entered wrong and click on update button then error msg is not getting displaye",deployed_in_uat,open,,,
39354,KRISHIVED PFM,pragatia,,normal,minor,always,,Bug,2022-02-14,,,,public,2022-02-15,"View tac : in bank details tab,bank acciunt no,acc holer name are entered incorrect then also tac got saved successfully",deployed_in_uat,open,,,
39353,KRISHIVED PFM,pragatia,,normal,minor,always,,Bug,2022-02-14,,,,public,2022-02-15,"Create trading account screen - In bank details, entered incorrect IFSC code and bank account no then also TAC saved successfull",deployed_in_uat,open,,,
39364,KRISHIVED PFM,pragatia,,normal,minor,always,,Observation,2022-02-14,,,,public,2022-02-14,"Observation - while doing member self registration, in office addess and authorised signatory details tab ,telephone no field i",new,open,,,
39103,KRISHIVED posttrade,yasht,,normal,minor,always,,Bug,2022-02-07,,,,public,2022-02-07,While buyer payin margin to be released shows 1 even after setting buyer side margin as 0 .,deployed_in_uat,open,,,
39048,KRISHIVED posttrade,yasht,,normal,minor,always,,Bug,2022-02-04,,,,public,2022-02-04,Buyer payin process stucked in completed stage even after depositing required shortage amount .,deployed_in_uat,open,,,
39047,KRISHIVED posttrade,yasht,,normal,minor,always,,Bug,2022-02-04,,,,public,2022-02-04,Margin book and margin block release book shows market code as NA in grid . it should be ledger code instead of market code .,deployed_in_uat,open,,,
39046,KRISHIVED posttrade,yasht,,normal,minor,random,,Bug,2022-02-04,,,,public,2022-02-04,"After completing trade mapping through trade mapping screen , Process status of DO GENERATION AND DELIVERY LIFTING shows closed",new,open,,,
37242,KRISHIVED PFM,yasht,,normal,minor,always,,Observation,2021-12-02,,,,public,2021-12-02,Observation : while user creation if user has mentioned bank account no. as letters then system should give error message as ple,closed,open,,,
35476,KRISHIVED posttrade,pradipk,,normal,minor,always,,Observation,2021-10-11,,,,public,2021-10-11,After obligation settle 'Dispatch Initiation' button is getting displayed to seller. Obligation No- 135321100803031010,new,open,,,
33918,KRISHIVED posttrade,Rajendraj,,normal,minor,always,,Observation,2021-09-01,,,,public,2021-09-01,Android: Do/Dispatch Generation No. of packs should be ''No of bags'',new,open,,,
33917,KRISHIVED posttrade,Rajendraj,,normal,major,always,,Bug,2021-09-01,,,,public,2021-09-01,"While confirmed the Qty of dispatch in Web, it is showing an error ''Confirm Qty should be greater then Zero""",new,open,,,
33061,KRISHIVED-PRIVATE MARKET,shraddhak,,none,feature,N/A,,New Change Request,2021-08-10,,,,public,2021-08-10,A tracking screen to view member's pending registration processes if any to Host,new,open,,,
31432,KRISHIVED-PRIVATE MARKET,shraddhak,,none,feature,N/A,,New Change Request,2021-06-25,,,,public,2021-06-25,Commodity topic dropdown to be provided in commodity master,new,open,,,
30928,KRISHIVED PFM,NIKHIL,,normal,minor,have not tried,,Data Request,2021-06-11,,,,public,2021-06-11,Error in direct -Uat for commodity master,new,open,,,
30919,KRISHIVED-PRIVATE MARKET,shraddhak,,normal,minor,always,,New Change Request,2021-06-11,,,,public,2021-06-11,Margin & exposure rounding changes,new,open,,,
30843,KRISHIVED-PRIVATE MARKET,shraddhak,,normal,minor,always,,New Change Request,2021-06-09,,,,public,2021-06-09,"Provision to maintain the consistency, to set the tm_id and cm_id in session after login to spotlite, and android app.",new,open,,,
30842,KRISHIVED-PRIVATE MARKET,shraddhak,,normal,minor,always,,New Change Request,2021-06-09,,,,public,2021-06-09,Provision to allow only approved members to login in all applications & restricting migrated members for self registration,new,open,,,
27709,KRISHIVED Auction Android,DEEKSHA,,high,major,sometimes,,Bug,2021-03-20,,,,public,2021-03-20,In auction order book & Trade book --> commodity not display.,new,open,,,
27546,KRISHIVED Auction Android,MAHENDRA,,normal,minor,have not tried,,Bug,2021-03-12,,,,public,2021-03-12,UAT NeML Direct Ffresh_Offer Validity time not displayed,new,open,,,
26600,KRISHIVED Bilateral,RAKESH,,normal,minor,N/A,,Test Cases,2021-02-17,,,,public,2021-02-17,UAT Direct - Exposure Limit not checked,new,open,,,
